+	Ohthere	Ohthere	ohthere
+	git	gyt	git
+	hæðen	hæðen	hæðen
-	wesan	wære	wære
+	heo	Heo	heo
-	biddan	bæd	bædan
-	þa	þa	þu
-	hire	hyre	hyrian
+	fæder	fæder	fæder
+	þæt	þæt	þæt
+	heo	heo	heo
-	feran	færen	None
+	motan	moste	motan
+	geond	geond	geond
-	his	his	hit
+	ham	hames	ham
+	on	on	on
+	Alexandisc	Alexandiscre	alexandisc
+	scir	scyre	scir
-	willan	Wolde	None
+	swa	swa	swa
+	cepan	cepan	cepan
-	se	þære	þære
+	cristen	cristenra	cristen
+	lar	lare	lar
+	forðam	forðan	forðam
-	þe	þe	þu
+	heo	heo	heo
-	ne	n	næs
-	habban	æfde	None
+	on	on	on
+	se	ðære	se
+	burh	byrig	burh
+	nan	nænne	nan
-	geleafful	geleaffulne	geleaffull
+	mann	mann	mann
-	þe	þe	þu
-	heo	hi	hi
+	læran	læren	læran
-	cunnan	cuþe	cuþ
+	forðam	forðan	forðam
+	Philippus	Philippus	philippus
+	afleon	aflygde	afleon
-	se	þa	þu
+	cristen	cristenan	cristen
+	of	of	of
+	Alexandria	Alexandrian	alexandria
-	eal	ealle	ealle
+	on	on	on
+	ær	ær	ær
-	hwæt	Hwæt	None
-	þa	þa	þu
+	Eugenia	EVGENIA	eugenia
+	arodlice	ardlice	arodlice
-	feran	færde	None
+	oþ	oð	oþ
+	þæt	þæt	þæt
+	heo	heo	heo
+	becuman	becom	becuman
+	þær	þær	þær
-	se	ða	þe
+	cristen	cristenan	cristen
+	singan	sungen	singan
+	mid	mid	mid
+	micel	mycelre	micel
-	blis	blisse	bliss
+	þus	þus	þus
+	mærsian	mærsigende	mærsian
+	God	God	god
+	Omnes	Omnes	omnes
+	dii	dii	dii
+	gentium	gentium	gentium
+	demonia	demonia	demonia
+	dominus	dominus	dominus
+	autem	autem	autem
+	cælos	cælos	cælos
+	fecit	fecit	fecit
+	eal	Ealle	eal
-	se	þære	þære
+	hæðen	hæðenra	hæðen
-	god	godas	gripe
-	wesan	syndon	None
+	Deofol	deofla	deofol
+	and	and	and
+	Dryhten	Dryhten	dryhten
+	soþlice	soðlice	soþlice
+	heofon	heofonas	heofon
-	gewyrcan	geworhte	gewyrсean
+	Eugenia	Eugenia	eugenia
-	þa	þa	þu
+	micel	mycclum	micel
-	weorþan	wearð	None
+	onbryrdan	onbryrd	onbryrdan
+	and	and	and
+	mid	mid	mid
+	wop	wope	wop
+	gesprecan	gespræc	gesprecan
+	hire	hire	hire
-	twegen	twægen	twægen
+	cniht	cnihtas	cniht
-	se	þære	þære
-	nama	naman	naman
+	wesan	wæron	wesan
+	Protus	Protus	protus
-	et	et	etan
+	Iacinctus	Iacinctus	iacinctus
-	se	Þa	þa
+	wesan	wæron	wesan
-	gelæran	gelærede	gelæred
+	on	on	on
+	Læden	Leden	læden
+	and	and	and
+	on	on	on
+	Grecisc	grecisc	grecisc
+	mid	mid	mid
+	Eugenia	Eugenian	eugenia
+	mid	mid	mid
-	weoroldlic	woruldlicra	woruldliс
+	lar	lare	lar
+	and	and	and
+	wesan	wæron	wesan
+	eunuchi	eunuchi	eunuchi
-	se	þæt	þæt
-	wesan	synt	None
+	belisnian	belisnode	belisnian
+	and	and	and
+	wesan	wæron	wesan
+	hira	heora	hira
+	hlæfdige	hlæfdige	hlæfdige
+	hold	holde	hold
+	and	and	and
+	getreowe	getrywe	getreowe
+	þa	Ða	þa
+	niman	nam	niman
+	Eugenia	Eugenia	eugenia
+	hi	hi	hi
+	on	on	on
+	sundorspræc	sundorspræce	sundorspræc
-	hatan	het	hettan
+	hi	hi	hi
+	gebroðor	gebroðra	gebroðor
+	and	and	and
-	biddan	bæd	bædan
+	þæt	þæt	þæt
+	hi	hi	hi
-	hire	hyre	hyrian
-	feax	fæx	None
-	forceorfan	forcurfon	forсeorfan
+	on	on	on
+	wæpenmann	wæpmonna	wæpenmann
+	wise	wysan	wise
+	and	and	and
+	mid	mid	mid
-	wæd	wædum	None
+	gehiwian	gehiwodon	gehiwian
+	swilce	swylce	swilce
+	heo	heo	heo
+	cniht	cniht	cniht
-	wesan	wære	wære
-	willan	Wolde	None
-	se	ðam	ðam
+	cristen	cristenan	cristen
+	genealæcan	genealecan	genealæcan
+	on	on	on
+	werlic	wærlicum	werlic
+	hiw	hiwe	hiw
+	þæt	þæt	þæt
+	heo	heo	heo
-	ne	ne	nesan
+	weorþan	wurde	weorþan
+	ameldian	ameldod	ameldian
+	hi	Hi	hi
-	feran	færdon	None
-	þa	ða	þe
+	þri	þry	þri
+	and	and	and
+	hira	heora	hira
+	gefera	gefæran	gefera
+	forlætan	forleton	forlætan
+	oþ	oð	oþ
+	þæt	þæt	þæt
+	hi	hi	hi
-	becuman	becoman	None
-	to	to	toh
+	se	ðære	se
+	cristen	cristenra	cristen
+	wunung	wununge	wunung
+	þær	þær	þær
+	hi	hi	hi
+	dæg	dæges	dæg
+	and	and	and
+	niht	nihtes	niht
+	hira	heora	hira
+	Dryhten	Drihten	dryhten
-	herian	heroden	None
+	on	On	on
-	se	ðam	ðam
+	ilca	ylcan	ilca
-	dæg	dæge	dæge
+	cuman	com	cuman
+	sum	sum	sum
+	bisceop	bisceop	bisceop
+	Helenus	Helenus	helenus
-	gehatan	gehaten	hatan
+	halig	haliges	halig
+	lifes	lifes	lifes
+	mid	mid	mid
+	micel	mycelre	micel
+	menigu	meniu	menigu
+	anmodlice	anmodlice	anmodlice
+	singan	singende	singan
+	Uia	Uia	uia
+	iustorum	iustorum	iustorum
+	recta	recta	recta
+	facta	facta	facta
+	est	est	est
-	et	et	etan
+	iter	iter	iter
+	Sanctorum	sanctorum	sanctorum
+	preparata	preparata	preparata
+	est	est	est
-	se	þæt	þæt
+	wesan	is	wesan
+	se	þæra	se
+	rihtwis	rihtwisra	rihtwis
-	weg	wæg	wegan
+	wesan	is	wesan
+	gerihtlæcan	gerihtlæced	gerihtlæcan
+	and	and	and
+	se	þæra	se
-	halga	halgena	halig
+	siþfæt	siðfæt	siþfæt
+	wesan	is	wesan
+	gegearcian	gegearcod	gegearcian
+	þes	Þes	þes
+	bisceop	bisceop	bisceop
-	wyrcan	worhta	None
-	fela	fæla	fæle
-	wundor	wundra	wundrian
+	þurh	þuruh	þurh
+	God	God	god
+	and	and	and
-	he	him	him
-	weorþan	wearð	None
+	geswutelian	geswutelod	geswutelian
+	on	on	on
+	swefen	swæfne	swefen
+	be	be	be
+	þes	þysum	þes
+	and	and	and
-	eal	eall	eall
+	se	þæs	se
-	mægden	mædenes	mæden
+	mod	mod	mod
-	he	him	him
-	weorþan	wearð	None
+	ameldian	ameldod	ameldian
+	þa	Ða	þa
+	gesprecan	gespræc	gesprecan
-	se	þæt	þæt
-	mægden	mæden	mæden
+	sum	sumne	sum
+	mæssepreost	messepreost	mæssepreost
+	Eutropius	Eutropius	eutropius
-	gehatan	gehaten	hatan
+	þæt	þæt	þæt
+	he	he	he
-	hire	hyre	hyrian
-	ærend	ærende	ærende
+	abeodan	abude	abeodan
-	se	þam	þæm
+	bisceop	bisceope	bisceop
+	þes	þysum	þes
+	word	wordum	word
+	geornlice	geornlice	geornlice
+	we	we	we
+	þri	ðry	þri
+	gebroðor	gebroðra	gebroðor
-	willan	wyllað	None
+	gecyrran	gecyrran	gecyrran
+	fram	fram	fram
-	se	þam	þæm
+	ful	fulan	ful
+	hæðenscipe	hæðenscype	hæðenscipe
-	to	to	toh
+	hælend	hælende	hælend
+	Crist	Criste	crist
+	and	and	and
+	we	we	we
-	ne	n	næs
-	willan	ellað	None
+	nateshwon	nateshwon	nateshwon
+	we	us	we
+	næfre	næfre	næfre
-	totwæman	totweman	None
+	þa	Þa	þa
+	se	þæs	se
+	on	on	on
+	merigen	mergen	merigen
+	se	se	se
+	mæssepreost	mæssepreost	mæssepreost
+	abeodan	abead	abeodan
+	se	þæs	se
-	mægden	mædenes	mæden
+	word	word	word
-	se	þam	þæm
+	mære	mæron	mære
+	bisceop	bisceope	bisceop
+	þa	Þa	þa
-	hatan	het	hettan
+	se	se	se
+	bisceop	bisceop	bisceop
-	heo	hi	hi
+	gelangian	gelangian	gelangian
+	micel	mycclum	micel
+	þancian	þanciende	þancian
-	se	þam	þæm
-	eallmihtig	ælmihtigan	ælmihtig
+	God	Gode	god
+	þæt	þæt	þæt
+	he	he	he
+	willan	wolde	willan
-	he	him	him
+	onwreon	onwreon	onwreon
+	se	þæs	se
-	mægden	mædenes	mæden
+	willa	wyllan	willa
+	he	He	he
+	geniman	genam	geniman
-	heo	hi	hi
-	þa	þa	þu
+	onsundrum	onsundron	onsundrum
+	and	and	and
-	secgan	sæde	sæd
-	heo	hyre	hyrian
+	Gewislice	gewislice	gewislice
-	hwæt	hwæt	hwæt#2
+	heo	heo	heo
-	mann	man	munan
-	ne	ne	nesan
+	wesan	wæs	wesan
+	and	and	and
+	hwilc	hwylcere	hwilc
+	mægþ	mægþe	mægþ
+	and	and	and
+	þæt	þæt	þæt
+	heo	heo	heo
+	þurh	þurh	þurh
+	mægþhad	mægðhad	mægþhad
+	micel	mycclum	micel
+	gelician	gelicode	gelician
-	se	þam	þæm
+	heofonlic	heofonlican	heofonlic
-	cyning	cyninge	cyninge
-	þe	þe	þu
+	heo	heo	heo
-	geceosan	gecoren	сeosan
+	habban	hæfde	habban
+	and	and	and
-	cweþan	cwæð	cweðan
+	þæt	þæt	þæt
+	heo	heo	heo
+	sculan	sceolde	sculan
+	swiþlice	swiðlice	swiþlice
+	eahtnes	æhtnyssa	eahtnes
+	for	for	for
+	mægþhad	mægðhade	mægþhad
-	þrowian	ðrowian	None
+	and	and	and
-	þeah	þeah	þiсgan
+	beon	beon	beon
+	gescildan	gescyld	gescildan
+	þurh	þurh	þurh
+	se	þone	se
-	soþ	soðan	soð
+	Dryhten	Drihten	dryhten
-	þe	þe	þu
+	gescildan	gescylt	gescildan
-	his	his	hit
+	geceosan	gecorenan	geceosan
+	to	To	to
+	hire	hire	hire
+	twegen	twam	twegen
+	cniht	cnihtum	cniht
+	he	he	he
-	cweþan	cwæð	cweðan
+	þæt	þæt	þæt
+	hi	hi	hi
-	healdan	heoldan	None
+	æþelborenness	æþelborennyss	æþelborenness
+	on	on	on
+	mod	mode	mod
-	þeah	þeah	þiсgan
-	þe	þe	þu
+	hi	hi	hi
+	mann	mannum	mann
+	þeowian	þeowdon	þeowian
+	and	and	and
-	cweþan	cwæð	cweðan
+	þæt	þæt	þæt
+	hi	hi	hi
+	Crist	Crist	crist
+	gesprecan	gespræce	gesprecan
+	þes	þysum	þes
+	godspellic	godspellicum	godspellic
+	word	wordum	word
+	ne	Ne	ne
+	hatan	hate	hatan
+	ic	ic	ic
+	ge	eow	ge
+	na	na	na
-	þeow	þeowan	þeowan
-	ac	ac	acan
+	ge	ge	ge
-	wesan	synd	None
+	min	mine	min
+	freond	freond	freond
+	þa	Þa	þa
+	bebeodan	bebead	bebeodan
+	se	se	se
+	bisceop	biscop	bisceop
-	se	þam	þæm
+	gebugan	gebogenan	gebugan
-	mægden	mædene	mæden
+	þæt	þæt	þæt
+	heo	heo	heo
+	swa	swa	swa
-	þurhwunian	þurhwunade	None
+	on	on	on
-	se	þam	þæm
+	werlic	wærlicum	werlic
+	hiw	hiwe	hiw
+	oþ	oþ	oþ
+	þæt	þæt	þæt
+	hi	hi	hi
+	on	on	on
+	fant	fante	fant
-	gefullian	gefullode	gefyllan
-	weorþan	wurdon	wurdon
+	and	and	and
+	mynsterlic	mynsterlicre	mynsterlic
+	drohtnung	drohtnunge	drohtnung
+	dearnunga	dearnunge	dearnunga
+	geþeodan	geþeodde	geþeodan
+	Eugenia	Eugenia	eugenia
-	þa	þa	þu
+	wunian	wunode	wunian
+	on	on	on
-	se	þam	þæm
+	mynster	mynstre	mynster
+	mid	mid	mid
+	werlic	wærlicum	werlic
+	mod	mode	mod
-	þeah	þeah	þiсgan
-	þe	þe	þu
+	heo	heo	heo
-	mægden	mæden	mæden
-	wesan	wære	wære
+	mid	mid	mid
-	hire	hyre	hyrian
+	twegen	twam	twegen
+	cniht	cnihtum	cniht
+	uncuþ	uncuð	uncuþ
+	gehwa	gehwam	gehwa
+	and	And	and
+	healdan	heold	healdan
+	on	on	on
-	hire	hyre	hyrian
+	þeaw	þeawum	þeaw
+	halig	halige	halig
+	drohtnung	drohtnunge	drohtnung
+	þurh	ðurh	þurh
+	mod	modes	mod
+	liðness	liþnesse	liðness
+	and	and	and
+	micel	mycelre	micel
+	eadmodnes	eadmodnesse	eadmodnes
+	and	and	and
+	þurh	þurh	þurh
+	halig	halige	halig
+	mægen	mægnu	mægen
-	se	þam	þæm
+	hælend	hælende	hælend
+	gecweman	gecwæmde	gecweman
+	heo	Heo	heo
-	þeon	þeah	þiсgan
+	on	on	on
+	lar	lare	lar
+	se	þæs	se
-	riht	rihtan	rihtan
+	geleafa	geleafan	geleafa
+	and	and	and
+	on	on	on
+	godcundlic	godcundlicum	godcundlic
-	gewrit	gewrytum	None
+	mid	mid	mid
+	god	godum	god
+	willa	wyllan	willa
+	and	and	and
-	weorþan	wearð	None
+	awendan	awend	awendan
+	of	of	of
+	wulf	wulfe	wulf
-	to	to	toh
+	sceap	sceape	sceap
+	heo	Hyre	heo
+	geefemlæcan	geeuenlæhton	geefemlæcan
-	eac	eac	eacan
-	hire	hyre	hyrian
+	cniht	cnihtas	cniht
+	Protus	Protus	protus
-	et	et	etan
+	Iacinctus	Iacinctus	iacinctus
+	on	on	on
-	synderlic	synderlicre	synderliс
+	drohtnung	drohtnunge	drohtnung
+	and	and	and
-	hire	hyre	hyrian
+	digolnes	digolnysse	digolnes
-	eal	eallum	eall
+	bedyrnan	bedyrndon	bedyrnan
+	Philippus	Philippus	philippus
-	þa	ða	þe
+	se	se	se
+	fæder	fæder	fæder
-	forweorþan	forwearð	None
+	on	on	on
+	mod	mode	mod
+	and	and	and
-	se	seo	seon
+	modor	modor	modor
+	Claudia	Claudia	claudia
+	mid	mid	mid
+	murcnung	murcnunge	murcnung
+	wesan	wæs	wesan
+	forniman	fornumen	forniman
+	and	and	and
-	eal	eall	eall
-	se	seo	seon
+	mægþ	mægð	mægþ
+	on	on	on
+	mod	mode	mod
-	weorþan	wearð	None
+	astyrian	astyred	astyrian
+	and	and	and
-	secan	sohten	sœ̄сan
-	se	þæt	þæt
+	mæden	mæden	mæden
+	mid	mid	mid
+	micel	mycelre	micel
+	sarness	sarnysse	sarness
+	hi	Hi	hi
-	ascian	axoden	axian
+	æt	æt	æt
+	wicca	wyccum	wicca
+	and	and	and
+	æt	æt	æt
-	wis	wisum	wise
+	dry	dryum	dry
-	eac	eac	eacan
+	æt	æt	æt
+	hira	heora	hira
+	leas	leasum	leas
+	god	godum	god
+	be	be	be
-	se	þære	þære
-	God	Godes	godes
+	þignen	þinene	þignen
-	he	Him	him
-	weorþan	wearð	None
-	þa	þa	þu
+	gesecgan	gesæd	gesecgan
-	to	to	toh
+	soþ	soþum	soþ
-	þing	þinge	þingan
+	þæt	þæt	þæt
-	se	ða	þe
+	god	godes	god
-	heo	hi	hi
+	gegripan	gegripon	gegripan
+	for	for	for
-	hire	hyre	hyrian
+	godnes	godnysse	godnes
+	þa	Þa	þa
-	gelifan	gelyfde	gelyfan
+	se	se	se
+	fæder	fæder	fæder
-	se	þære	þære
+	leasung	leasunga	leasung
+	and	and	and
-	het	het	hettan
+	asmiðian	asmiðigen	asmiðian
+	of	of	of
+	smæte	smætum	smæte
+	gold	golde	gold
-	hire	hyre	hyrian
+	anlicnes	anlycnysse	anlicnes
+	and	and	and
-	se	þa	þu
-	weorþian	wurðode	None
+	swa	swa	swa
+	swa	swa	swa
+	halig	halige	halig
+	gyden	gydenan	gyden
-	ac	ac	acan
+	hit	hit	hit
+	wesan	wæs	wesan
+	gold	gold	gold
+	swa	swa	swa
-	þeah	þeah	þiсgan
+	þa	Þa	þa
+	æfter	æfter	æfter
+	þri	þrym	þri
+	gear	gearum	gear
+	se	þæs	se
-	þe	þe	þu
+	heo	heo	heo
+	gecyrran	gecyrred	gecyrran
+	wesan	wæs	wesan
+	gewitan	gewat	gewitan
+	se	se	se
+	abbad	abbod	abbad
-	þe	þe	þu
-	hire	hyre	hyrian
+	ealdor	ealdor	ealdor
+	wesan	wæs	wesan
+	and	And	and
-	se	þa	þu
+	gebroðor	gebroðra	gebroðor
+	sona	sona	sona
-	ceosan	ceosan	None
+	onginnan	ongunnen	onginnan
+	Eugenia	Eugenian	eugenia
-	to	to	toh
+	abbad	abbude	abbad
+	for	for	for
-	hire	hyre	hyrian
+	arfæst	arfæstan	arfæst
+	lif	life	lif
+	and	and	and
-	ne	n	næs
-	witan	yston	ystan
+	þæt	þæt	þæt
+	heo	heo	heo
+	wesan	wæs	wesan
-	wifmann	wimman	None
+	swa	swa	swa
-	þeah	þeah	þiсgan
+	þa	Ða	þa
-	weorþan	wearð	None
-	se	þæt	þæt
-	mægden	mæden	mæden
+	micel	mycclum	micel
+	hohfull	hohful	hohfull
+	hu	hu	hu
+	heo	heo	heo
+	æfre	æfre	æfre
+	wer	wæras	wer
+	wissian	wissian	wissian
+	sculan	sceolde	sculan
+	ne	Ne	ne
+	durran	dorste	durran
+	swa	swa	swa
-	þeah	þeah	þiсgan
+	hi	hi	hi
-	eal	ealle	ealle
+	gedrefan	gedrefan	gedrefan
+	and	and	and
-	hira	hyra	hyra
-	geþeaht	geþeaht	þeссean
+	forseon	forseon	forseon
-	ac	ac	acan
-	fon	fæng	None
-	to	to	toh
-	se	ðam	ðam
+	had	hade	had
-	hwæt	Hwæt	None
-	þa	ða	þe
+	Eugenia	Eugenia	eugenia
+	he	hym	he
-	eal	eallum	eall
+	gebysnian	gebysnode	gebysnian
+	mid	mid	mid
+	god	goddre	god
+	gedrohtnung	gedrohtnunge	gedrohtnung
-	to	to	toh
-	God	Godes	godes
+	þeowdom	þeowdome	þeowdom
+	and	and	and
+	mid	mid	mid
+	carfulnys	carfulnysse	carfulnys
-	se	þonne	þonne
+	hyred	hyred	hyred
+	gewissian	gewissode	gewissian
+	heo	Hyre	heo
-	geunnan	geuðe	None
-	þa	þa	þu
+	se	se	se
-	eallmihtig	ælmihtiga	ælmihtig
+	wealdend	wealdend	wealdend
+	þæt	þæt	þæt
+	heo	heo	heo
+	untrum	untrume	untrum
+	mann	menn	mann
-	magan	mihte	miht
+	gehælan	gehælan	gehælan
+	swa	swa	swa
+	hwilc	hwylcne	hwilc
+	swa	swa	swa
+	heo	heo	heo
+	geneosian	geneosode	geneosian
+	licgan	licgende	licgan
+	on	on	on
+	sar	sare	sar
+	heo	Heo	heo
+	afleon	aflygde	afleon
-	eac	eac	eacan
+	swilce	swylce	swilce
-	se	þa	þu
+	ful	fulan	ful
+	Deofol	deofla	deofol
+	fram	fram	fram
+	ofsettan	ofsættum	ofsettan
+	mann	mannum	mann
+	þurh	þurh	þurh
-	soþ	soðne	soð
+	geleafa	geleafan	geleafa
+	þa	Þa	þa
+	wesan	wæs	wesan
+	sum	sum	sum
+	wif	wif	wif
+	welig	wælig	welig
+	on	on	on
+	æht	æhtum	æht
+	Melantia	Melantia	melantia
+	gecigan	gecyged	gecigan
+	swiðe	swiðe	swiðe
+	þearle	þearle	þearle
+	gedreccan	gedreht	gedreccan
+	mid	mid	mid
+	langsumum	langsumum	langsumum
+	fefer	feofore	fefer
+	and	and	and
+	cuman	com	cuman
-	to	to	toh
+	se	ðære	se
+	fæmne	femnan	fæmne
+	Eugenia	Eugenia	eugenia
-	þa	þa	þu
-	heo	hi	hi
+	gesmyrian	gesmyrode	gesmyrian
+	mid	mid	mid
+	gehalgian	gehalgodum	gehalgian
-	ele	ele	elh
+	and	and	and
-	eac	eac	eacan
-	gemearcian	gemearcode	gemearcod
+	mid	mid	mid
+	rodetacen	rodetacne	rodetacen
+	and	And	and
+	heo	heo	heo
-	se	þæt	þæt
+	reðe	reðe	reðe
+	ator	attor	ator
-	eal	eall	eall
+	ut	ut	ut
+	aspiwan	aspaw	aspiwan
-	þe	þe	þu
-	heo	hyre	hyrian
-	derian	dærede	None
+	and	and	and
+	weorþan	wearþ	weorþan
-	gehælan	gehæled	hælan
+	þurh	þurh	þurh
-	se	þæt	þæt
+	halig	halige	halig
-	mægden	mæden	mæden
+	þa	Þa	þa
+	beodan	bead	beodan
-	se	seo	seon
+	widuwe	wydewe	widuwe
-	se	þam	þæm
-	mægden	mædene	mæden
+	sceatt	sceattas	sceatt
+	for	for	for
-	hire	hyre	hyrian
+	hæle	hæle	hæle
-	ac	ac	acan
+	heo	heo	heo
+	hi	hi	hi
+	forsacan	forsoc	forsacan
+	and	and	and
+	tyhtan	tihte	tyhtan
-	se	ða	þe
-	oðer	oþre	oþer
+	þæt	þæt	þæt
+	heo	heo	heo
+	hi	hi	hi
+	dælan	dælde	dælan
+	þearfa	þearfum	þearfa
+	and	and	and
+	wædla	wædlum	wædla
+	for	for	for
-	se	ðam	ðam
-	gewis	gewissan	gewiss
+	edlean	eadleane	edlean
+	þa	Ða	þa
-	gewendan	gewænde	None
-	se	seo	seon
+	widuwe	wydewe	widuwe
+	ham	ham	ham
-	to	to	toh
-	hire	hyre	hyrian
+	agen	agenum	agen
+	and	and	and
+	cuman	com	cuman
+	siððan	siððan	siððan
+	gelome	gelome	gelome
+	mid	mid	mid
+	leas	leasum	leas
+	mod	mode	mod
-	to	to	toh
-	se	þam	þæm
+	wlitig	wlytegan	wlitig
-	mægden	mædene	mæden
-	wenan	wende	wendan
+	þæt	þæt	þæt
+	heo	heo	heo
+	cniht	cniht	cniht
-	wesan	wære	wære
+	and	and	and
+	manigfeald	mænigfealde	manigfeald
+	sceatt	sceattas	sceatt
-	heo	hyre	hyrian
+	unmæþlice	unmæðlice	unmæþlice
+	beodan	bead	beodan
+	ac	Ac	ac
-	þa	þa	þu
-	þa	þa	þu
+	heo	heo	heo
+	geseon	geseah	geseon
+	þæt	þæt	þæt
-	se	seo	seon
+	soþfæst	soðfæste	soþfæst
+	fæmne	fæmne	fæmne
-	hire	hyre	hyrian
-	lac	laca	lacu
-	ne	ne	nesan
-	reccan	rohte	reссan
-	ne	ne	nesan
-	hire	hyre	hyrian
+	runung	rununga	runung
-	þa	þa	þu
-	weorþan	wearð	None
+	heo	heo	heo
+	mid	mid	mid
-	yfel	yfele	yfele
-	eal	eall	eall
+	afyllan	afylled	afyllan
+	and	and	and
+	gebredan	gebræd	gebredan
-	heo	hi	hi
+	seoc	seoce	seoc
+	mid	mid	mid
+	bysmorfull	bysmorfullum	bysmorfull
+	geþanc	geþance	geþanc
+	heo	Heo	heo
-	biddan	bæd	bædan
-	þa	þa	þu
+	Eugenia	Eugenian	eugenia
+	þæt	þæt	þæt
+	heo	heo	heo
-	heo	hi	hi
+	geneosian	geneosode	geneosian
+	and	and	and
+	onginnan	ongan	onginnan
-	heo	hyre	hyrian
-	secgan	sæcgan	None
-	hire	hyre	hyrian
+	sweart	sweartan	sweart
+	geþoht	geþohtas	geþoht
-	cweþan	Cwæð	None
+	þæt	þæt	þæt
+	heo	heo	heo
-	wesan	wære	wære
+	widuwe	wydewe	widuwe
+	on	on	on
-	se	þam	þæm
-	gear	geare	geare
+	and	and	and
-	hire	hyre	hyrian
+	wer	wer	wer
+	læfan	læfde	læfan
+	unlytel	unlytle	unlytel
+	æht	æhta	æht
+	on	on	on
+	land	lande	land
+	and	and	and
+	on	on	on
+	feoh	feo	feoh
+	and	and	and
+	on	on	on
+	forewyrcend	forewyrcendum	forewyrcend
+	and	And	and
+	wit	unc	wit
-	ne	n	næs
-	wesan	æs	æs
+	gemæne	gemæne	gemæne
-	man	man	munan
+	on	on	on
+	þes	ðysum	þes
-	lif	lyfe	None
+	nu	Nu	nu
+	wesan	is	wesan
+	min	min	min
+	mod	mod	mod
+	awendan	awend	awendan
+	micel	mycclum	micel
-	to	to	toh
+	þu	ðe	þu
+	þæt	þæt	þæt
+	þu	þu	þu
+	hlaford	hlaford	hlaford
+	beon	beo	beon
+	se	þæra	se
+	æht	æhta	æht
+	and	and	and
-	ic	min	min
+	ic	Ic	ic
-	wenan	wene	wennan
+	þæt	þæt	þæt
+	hit	hit	hit
-	ne	ne	nesan
-	wesan	sy	su
+	unrihtwisness	unrihtwisnysse	unrihtwisness
+	ætforan	ætforan	ætforan
+	God	Gode	god
-	þeah	þeah	þiсgan
-	þe	ðe	þu
+	þu	þu	þu
+	wif	wifes	wif
+	brucan	bruce	brucan
+	and	and	and
+	blis	blysse	blis
+	on	on	on
+	lif	life	lif
+	þa	Ða	þa
-	andwerdan	andwyrde	andwyrde
+	Eugenia	Eugenia	eugenia
+	þes	þyssere	þes
+	oleccung	olecunge	oleccung
+	and	and	and
-	cweþan	cwæð	cweðan
-	to	to	toh
-	se	þam	þæm
+	wif	wife	wif
+	mid	mid	mid
+	þes	þisum	þes
-	ingehygd	ingehyde	None
+	þæt	þæt	þæt
-	se	ða	þe
+	gewilnung	gewylnunga	gewilnung
+	þes	þissere	þes
+	andweard	andweardan	andweard
+	weorold	worulde	weorold
-	wesan	synt	None
+	swiðe	swiðe	swiðe
+	swicol	swicole	swicol
-	þeah	þeah	þiсgan
-	þe	þe	þu
+	hi	hi	hi
+	geswæs	geswæse	geswæs
+	beon	beon	beon
+	and	And	and
+	se	þæs	se
-	lichama	lichoman	None
+	lust	lustas	lust
+	gelome	gelome	gelome
+	bepæcan	bepæceð	bepæcan
+	and	and	and
-	to	to	toh
+	sarness	sarnissum	sarness
+	gelædan	gelædað	gelædan
-	se	þa	þu
-	þe	þe	þu
+	hi	hi	hi
+	swiðe	swiðost	swiðe
-	lufian	lufiað	None
+	æfter	Æfter	æfter
+	þes	þissere	þes
+	tyhting	tihtinge	tyhting
+	and	and	and
+	on	on	on
+	oðer	oðrum	oðer
+	lar	larum	lar
-	beclypian	beclypte	beclyppan
-	se	seo	seon
+	miltestre	myltestre	miltestre
-	se	þæt	þæt
+	clæne	clæne	clæne
+	mæden	mæden	mæden
+	and	and	and
+	willan	wolde	willan
-	heo	hi	hi
+	gebygan	gebygan	gebygan
-	to	to	toh
+	bismerlic	bismorlicum	bismerlic
+	hæmed	hæmede	hæmed
-	hwæt	Hwæt	None
-	þa	ða	þe
+	Eugenia	Eugenia	eugenia
-	heo	hi	hi
+	gebledsian	gebletsode	gebledsian
+	and	and	and
-	cweþan	cwæð	cweðan
-	to	to	toh
+	se	ðære	se
+	sceand	sceande	sceand
+	þæt	þæt	þæt
+	heo	heo	heo
+	soþlice	soðlice	soþlice
-	wesan	wære	wære
+	galnes	galnysse	galnes
+	ontendness	ontendnyss	ontendness
+	and	and	and
+	grama	gramena	grama
+	mæge	mæge	mæge
+	þeostru	þeostra	þeostru
+	gefara	gefæra	gefara
+	and	and	and
+	mid	mid	mid
-	sweartness	sweartnysse	None
+	afyllan	afylled	afyllan
-	deaþ	deaðes	None
+	dohtor	dohtor	dohtor
+	and	and	and
+	Deofol	deofles	deofol
+	fætels	fætels	fætels
-	habban	Habban	None
+	þin	þine	þin
+	æht	æhta	æht
+	þin	þine	þin
+	gelica	gelican	gelica
+	we	We	we
-	habban	habbað	None
-	eal	ealle	ealle
-	þing	ðing	None
+	mid	mid	mid
-	se	þam	þæm
-	eallmihtig	ælmihtigan	ælmihtig
+	Dryhten	Drihtne	dryhten
+	þa	Ða	þa
-	weorþan	wearð	None
+	Melantia	Melantia	melantia
+	micel	micclum	micel
+	ofsceamian	ofsceamod	ofsceamian
-	wenan	wende	wendan
+	þæt	þæt	þæt
+	heo	heo	heo
+	willan	wolde	willan
-	hire	hyre	hyrian
+	word	word	word
+	ameldian	ameldian	ameldian
+	butan	buton	butan
+	heo	heo	heo
+	self	sylf	self
+	on	on	on
+	ær	ær	ær
+	hit	hit	hit
